Commodity,x,Value_12_13
COFFEE,47125079461,748.0171343
COTTON RAW INCLD. WASTE,1.98E+11,3149.343074
DYES/INTMDTES n COAR TAR CHEML,2.25E+11,3571.153843
FERRO ALLOYS,1.03E+11,1628.554089
GUERGAM MEAL,2.12E+11,3363.539145
INORGANIC/ORGANIC/AGRO CHEMLS,3.52E+11,5595.118753
IRON ORE,86818653006,1378.073857
IRONnSTL BAR/ROD ETCnFRRO ALOY,61835910873,981.5223948
MARINE PRODUCTS,1.88E+11,2989.001737
OIL MEALS,1.58E+11,2511.360979
OTHER CEREALS,82171959699,1304.316821
PAINTS/ENAMELS/VARNISHES ETC.,52166751203,828.0436699
PETROLEUM: CRUDE & PRODUCTS,3.21E+12,50891.90472
PRMRY & SEMI-FNSHD IRON & STL,2.77E+11,4394.298299
RICE -BASMOTI,1.94E+11,3077.985114
RICE(OTHER THAN BASMOTI),1.44E+11,2288.343617
SPICES,1.53E+11,2431.491939
SUGAR,85762031664,1361.30209
TEA,46741387615,741.9267875
WHEAT,1.05E+11,1664.698991
