Principal.Commodity,Continent,,,Value_11_12,Value_12_13
CASHEW,Africa,1325042272,1145939531,21.03241702,18.18951637
CASHEW NUT SHELL LIQUID,Africa,3104166,4865522,0.049272476,0.077230508
CASTOR OIL,Africa,527847193,432808386,8.378526873,6.869974381
COFFEE,Africa,3426489246,2490402084,54.38871819,39.53019181
FRUITS / VEGETABLE SEEDS,Africa,181046342,247769194,2.87375146,3.932844349
GROUNDNUT,Africa,692461154,486730019,10.99144689,7.725873317
GUERGAM MEAL,Africa,1575065041,828772096,25.0010324,13.15511263
NIGER SEEDS,Africa,2864573,23694787,0.045469413,0.37610773
OIL MEALS,Africa,4351276232,1070615445,69.0678767,16.99389595
OTHER CEREALS,Africa,675476653,2126652938,10.72185163,33.75639584
PULSES,Africa,2606000472,3568524920,41.36508686,56.6432527
RICE -BASMOTI,Africa,3280993872,4504738539,52.07926781,71.50378633
RICE(OTHER THAN BASMOTI),Africa,54708172576,99390715024,868.3836917,1577.630397
SESAME SEEDS,Africa,1613819161,1192019149,25.61617716,18.92093887
SPICES,Africa,5931233509,7321220396,94.14656363,116.2098476
SUGAR,Africa,28085907196,29140355727,445.8080507,462.545329
TEA,Africa,1747965688,2067446692,27.74548711,32.81661416
WHEAT,Africa,397017833,18731755197,6.301870365,297.3294476
CASHEW,Americas,15252476806,12805026338,242.1028064,203.2543863
CASHEW NUT SHELL LIQUID,Americas,303646336,124024135,4.819783111,1.968637063
CASTOR OIL,Americas,6221288559,6108087911,98.75061205,96.95377637
COFFEE,Americas,1354767682,1859461245,21.50424892,29.51525786
FRUITS / VEGETABLE SEEDS,Americas,302396854,411420555,4.799950063,6.530485
GROUNDNUT,Americas,2528044513,157602154,40.12769068,2.501621492
GUERGAM MEAL,Americas,1.28067E+11,1.77384E+11,2032.811462,2815.626861
NIGER SEEDS,Americas,869701308,596048260,13.80478267,9.461083492
OIL MEALS,Americas,195732497,187833520,3.106865032,2.981484444
OTHER CEREALS,Americas,62272802,180993208,0.988457175,2.872908063
PULSES,Americas,274785870,340498821,4.361680476,5.40474319
RICE -BASMOTI,Americas,6855193086,7355312948,108.8125887,116.7509992
RICE(OTHER THAN BASMOTI),Americas,1027530690,1218274968,16.31001095,19.3376979
SESAME SEEDS,Americas,3026958650,3864611095,48.0469627,61.34303325
SPICES,Americas,31057133952,33388644238,492.9703802,529.97848
SUGAR,Americas,1402701749,1106135997,22.26510713,17.55771424
TEA,Americas,3811016298,4020791921,60.49232219,63.82209398
WHEAT,Americas,232209,1765137,0.003685857,0.028018048
CASHEW,Asia,15622530696,16081884439,247.9766777,255.268007
CASHEW NUT SHELL LIQUID,Asia,252535445,145593466,4.008499127,2.311007397
CASTOR OIL,Asia,21607573719,23080508920,342.9773606,366.3572844
COFFEE,Asia,8813063374,9140255628,139.8898948,145.0834227
FRUITS / VEGETABLE SEEDS,Asia,1989461697,2261402048,31.5787571,35.8952706
GROUNDNUT,Asia,46492190460,38545147006,737.9712771,611.8277303
GUERGAM MEAL,Asia,14390056438,17947609992,228.4135943,284.8826983
NIGER SEEDS,Asia,35041009,56504580,0.556206492,0.896898095
OIL MEALS,Asia,1.06997E+11,1.40928E+11,1698.369918,2236.950584
OTHER CEREALS,Asia,53906262206,79102322182,855.6549557,1255.592416
PULSES,Asia,7115557637,8363099505,112.9453593,132.7476112
RICE -BASMOTI,Asia,1.29979E+11,1.60854E+11,2063.150801,2553.240859
RICE(OTHER THAN BASMOTI),Asia,28772102568,39098642426,456.7000408,620.6133718
SESAME SEEDS,Asia,16149841900,15269056902,256.3466968,242.3659826
SPICES,Asia,70980744979,85386854616,1126.678492,1355.346899
SUGAR,Asia,56284573887,53791178584,893.4059347,853.8282315
TEA,Asia,17369138452,20633255225,275.7006103,327.5119877
WHEAT,Asia,9828739178,86120092694,156.011733,1366.985598
CASHEW,Australia,524500502,254002661,8.325404794,4.03178827
CASHEW NUT SHELL LIQUID,Australia,5020906,0,0.079696921,0
CASTOR OIL,Australia,193131901,123898425,3.06558573,1.966641667
COFFEE,Australia,832183516,1115915565,13.20926216,17.71294548
FRUITS / VEGETABLE SEEDS,Australia,10362033,3321478,0.164476714,0.052721873
GROUNDNUT,Australia,8183824,553819,0.129901968,0.008790778
GUERGAM MEAL,Australia,2594876918,2355789462,41.18852251,37.39348352
NIGER SEEDS,Australia,1217192,1022368,0.019320508,0.016228063
OIL MEALS,Australia,293736330,189113109,4.662481429,3.001795381
OTHER CEREALS,Australia,42980306,10949511,0.682227079,0.173801762
PULSES,Australia,21546749,41028003,0.342011889,0.651238143
RICE -BASMOTI,Australia,1167057420,1665214983,18.52472095,26.43198386
RICE(OTHER THAN BASMOTI),Australia,144700066,197384831,2.296826444,3.133092556
SESAME SEEDS,Australia,420588146,622851847,6.676002317,9.886537254
SPICES,Australia,1591918451,1784967010,25.26854684,28.33280968
SUGAR,Australia,306943449,48640871,4.872118238,0.772077317
TEA,Australia,1419207209,1377556503,22.52709856,21.86597624
WHEAT,Australia,128541,2467172,0.002040333,0.03916146
CASHEW,Europe,11180080754,10383742932,177.4615993,164.8213164
CASHEW NUT SHELL LIQUID,Europe,30330968,23903455,0.481443937,0.379419921
CASTOR OIL,Europe,17166815885,13398384763,272.489141,212.672774
COFFEE,Europe,30902656493,32519044939,490.518357,516.1753165
FRUITS / VEGETABLE SEEDS,Europe,394368151,568086961,6.259811921,9.017253349
GROUNDNUT,Europe,2743596615,1465827663,43.54915262,23.26710576
GUERGAM MEAL,Europe,18149572200,13386302344,288.0884476,212.4809896
NIGER SEEDS,Europe,263866579,224025744,4.188358397,3.55596419
OIL MEALS,Europe,6126522910,15840292783,97.2463954,251.4332188
OTHER CEREALS,Europe,239570920,751041860,3.802713016,11.92129937
PULSES,Europe,638437469,485873038,10.13392808,7.712270444
RICE -BASMOTI,Europe,13154766946,19533621621,208.8058245,310.057486
RICE(OTHER THAN BASMOTI),Europe,1900339928,4260630647,30.16412584,67.62905789
SESAME SEEDS,Europe,5205362992,7866912647,82.6248094,124.8716293
SPICES,Europe,22606988890,25302305892,358.8410935,401.623903
SUGAR,Europe,1577436416,1675720485,25.03867327,26.59873786
TEA,Europe,16423637059,18642337274,260.6926517,295.9101155
WHEAT,Europe,6567315,19956232,0.104243095,0.316765587
