Commodity_Category,Year,Value,USD_Value
Chemicals,2011-12,5.05197E+11,8.019002577
Chemicals,2012-13,6.29642E+11,9.994316266
Coal and Oil,2011-12,2.54873E+12,40.45602222
Coal and Oil,2012-13,3.21412E+12,51.01781008
Food,2011-12,1.10761E+12,17.58117197
Food,2012-13,1.43698E+12,22.8092699
Marine Products,2011-12,1.65842E+11,2.632417291
Marine Products,2012-13,1.88307E+11,2.989001737
Metal & Minerals,2011-12,6.52468E+11,10.3566342
Metal & Minerals,2012-13,5.68073E+11,9.017038146
Non-Food Agri Products,2011-12,2.27042E+11,3.603834911
Non-Food Agri Products,2012-13,2.10355E+11,3.33897184
